Parent ID,Child ID,Invoice Date,Invoice Amount,Bank Date,Customer,Check Amount,Tier 2 - Chart of Account ID,Tier 2 - Chart of Account,Check Num,Comment,Tier 1 - Type,APO Status,Account Receivable
5054,7734,,,2024-08-23,,"$4,151.91",31400,Shareholder Distributions,6185,test,Equity,Closed,"$4,151.91"
5055,7735,,,2024-08-23,,"$1,303.69",31400,Shareholder Distributions,6184,test,Equity,Closed,"$1,303.69"
5056,7736,,,2024-08-23,,"$5,120.73",31400,Shareholder Distributions,6168,test,Equity,Closed,"$5,120.73"
5149,7915,,,2024-10-18,,$0.01,47900,Sales,EFT,test,Income,Closed,$0.01
5203,7995,,,2024-12-31,,$270.00,68000,Taxes-Property,126204,test,Expense,Closed,$270.00
4824,7317,,,2024-01-22,,"$2,400.00",70000,Rental,596,,Other Income,Closed,"$2,400.00"
4870,7392,,,2024-02-29,,"$2,400.00",70000,Rental,621,,Other Income,Closed,"$2,400.00"
4874,7397,,,2024-03-14,,"$2,400.00",70000,Rental,632,,Other Income,Closed,"$2,400.00"
4916,7484,,,2024-04-15,,"$2,400.00",70000,Rental,1,,Other Income,Closed,"$2,400.00"
4953,7539,,,2024-05-15,,"$2,400.00",70000,Rental,1,,Other Income,Closed,"$2,400.00"
4981,7606,,,2024-06-12,,"$2,400.00",70000,Rental,1,,Other Income,Closed,"$2,400.00"
5006,7653,,,2024-07-09,,"$2,400.00",70000,Rental,2713,test,Other Income,Closed,"$2,400.00"
5042,7721,,,2024-08-08,,"$2,400.00",70000,Rental,1,test,Other Income,Closed,"$2,400.00"
5089,7827,,,2024-09-19,,"$2,400.00",70000,Rental,1,,Other Income,Closed,"$2,400.00"
5117,7866,,,2024-10-25,,"$2,400.00",70000,Rental,1,,Other Income,Closed,"$2,400.00"
5136,7898,,,2024-11-08,,"$2,400.00",70000,Rental,1,,Other Income,Closed,"$2,400.00"
5186,7970,,,2024-12-13,,"$2,400.00",70000,Rental,1,,Other Income,Closed,"$2,400.00"
4871,7393,,,2024-03-08,,"$4,187.50",70100,Misc Credits,11127196,test,Other Income,Closed,"$4,187.50"
4885,7423,,,2024-03-14,,$275.00,70100,Misc Credits,EFT,test,Other Income,Closed,$275.00
4888,7426,,,2024-03-22,,"$4,895.72",70100,Misc Credits,Account Transfer,test,Other Income,Closed,"$4,895.72"
4917,7485,,,2024-04-17,,"$20,077.50",70100,Misc Credits,Wire Transfer,test,Other Income,Closed,"$20,077.50"
4985,7613,,,2024-06-18,,"$22,659.45",70100,Misc Credits,Wire Transfer,test,Other Income,Closed,"$22,659.45"
5188,7974,,,2024-12-16,,"$8,282.66",70100,Misc Credits,Account Transfer,test,Other Income,Closed,"$8,282.66"
